Vehicles Available ID,Vehicles Available,Year,Commute Means by Gender,Commute Means by Gender Moe,MSA,MSA ID,share
0,"No Vehicle Available",2024,6974739,24700.90858652774,"United States","01000US",0.044269911851974916
1,"1 Vehicle Available",2024,32955713,58031.674842279026,"United States","01000US",0.2091757855783541
2,"2 Vehicles Available",2024,63002910,147732.81835800738,"United States","01000US",0.399890701590111
3,"3 Vehicles Available",2024,32853131,68980.92421822138,"United States","01000US",0.20852467933658658
4,"4 Vehicles Available",2024,14348099,34135.86303288669,"United States","01000US",0.09106994225495885
5,"5 or More Vehicles Available",2024,7415733,43157.080647328316,"United States","01000US",0.04706897938801459
0,"No Vehicle Available",2024,46626,1777.838012868439,"Pittsburgh, PA","31000US38300",0.03978673911893356
1,"1 Vehicle Available",2024,275485,3944.2901769519954,"Pittsburgh, PA","31000US38300",0.23507591957661844
2,"2 Vehicles Available",2024,519018,5052.055423290603,"Pittsburgh, PA","31000US38300",0.4428866676110037
3,"3 Vehicles Available",2024,218512,3703.3370086990467,"Pittsburgh, PA","31000US38300",0.18645991374675952
4,"4 Vehicles Available",2024,78174,2554.3343555611505,"Pittsburgh, PA","31000US38300",0.06670717076059521
5,"5 or More Vehicles Available",2024,34083,1626.8656982062164,"Pittsburgh, PA","31000US38300",0.029083589186089574
