trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10000090,21,1,INBOUND-DOWNTOWN,,1,26 -077,shp-21-01,1,1
1000070,61D,3,OUTBOUND-WATERFRONT,,0,53 -174,shp-61D-52,1,1
10001010,13,2,OUTBOUND-WEST VIEW,,0,13 -034,shp-13-51,1,1
100020,57,4,OUTBOUND-WATERFRONT,,0,93 -711,shp-57-51,1,1
10002020,16,4,INBOUND-DOWNTOWN,,1,54 -299,shp-16-01,1,1
10003010,61B,2,INBOUND-DOWNTOWN,,1,61B-194,shp-61B-04,1,1
10004070,93,3,INBOUND-GLEN HAZEL,,1,59 -227,shp-93-01,1,1
10005070,77,3,INBOUND-DOWNTOWN,,1,77 -384,shp-77-01,1,1
10006020,71B,4,INBOUND-DOWNTOWN,,1,71B-526,shp-71B-02,1,1
10007090,14,1,INBOUND-ALLEGHENY STATION,,1,14 -041,shp-14-51,1,1
10008020,75,4,INBOUND-SOUTH SIDE WORKS,,1,67 -488,shp-75-05,1,1
10009020,O12,4,OUTBOUND-MCCANDLESS PARK AND RIDE,,0,6 -032,shp-O12-53,1,1
10010020,61A,4,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-378,shp-61A-54,1,1
1001020,81,4,OUTBOUND-WHARTON SQUARE,,0,83 -640,shp-81-52,1,1
10011020,48,4,INBOUND-DOWNTOWN,,1,29 -186,shp-48-01,1,1
10012070,75,3,INBOUND-SOUTH SIDE WORKS,,1,74 -370,shp-75-04,1,1
10013070,88,3,INBOUND-DOWNTOWN,,1,88 -430,shp-88-01,1,1
10014010,14,2,OUTBOUND-AMBRIDGE,,0,14 -041,shp-14-02,1,1
10015070,67,3,OUTBOUND-FORBES HOSPITAL,,0,67 -327,shp-67-54,1,1
10016090,61D,1,INBOUND-OAKLAND,,1,57 -168,shp-61D-02,1,1
10017070,P1,3,OUTBOUND-SWISSVALE,,0,P1  -454,shp-P1-52,1,1
10018020,13,4,INBOUND-DOWNTOWN,,1,8 -039,shp-13-01,1,1
10019020,P68,4,INBOUND-DOWNTOWN,,1,P68 -824,shp-P68-01,1,1
10020,87,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,87 -656,shp-87-54,1,1
10020010,71A,2,OUTBOUND-HIGHLAND PARK,,0,28X-093,shp-71A-52,1,1
1002020,87,4,INBOUND-DOWNTOWN,,1,87 -662,shp-87-02,1,1
10021010,56,2,INBOUND-DOWNTOWN,,1,59 -172,shp-56-01,1,1
10022020,18,4,OUTBOUND-MANCHESTER,,0,18 -110,shp-18-02,1,1
10023010,57,2,INBOUND-DOWNTOWN,,1,61C-210,shp-57-01,1,1
10024020,71B,4,INBOUND-DOWNTOWN,,1,71D-574,shp-71B-02,1,1
10025070,G2,3,INBOUND-DOWNTOWN,,1,36 -124,shp-G2-02,1,1
10026070,29,3,OUTBOUND-CCAC WEST,,0,31 -116,shp-29-51,1,1
10027090,17,1,INBOUND-DOWNTOWN,,1,17 -056,shp-17-02,1,1
10028020,38,4,INBOUND-DOWNTOWN,,1,21 -129,shp-38-02,1,1
10029070,38,3,INBOUND-DOWNTOWN,,1,24 -094,shp-38-02,1,1
10030020,71C,4,OUTBOUND-WILKINSBURG,,0,71C-551,shp-71C-51,1,1
1003010,71D,2,INBOUND-OAKLAND,,1,28X-094,shp-71D-01,1,1
10031020,67,4,OUTBOUND-CCAC BOYCE,,0,P12 -777,shp-67-53,1,1
10032020,38,4,OUTBOUND-CHARTIERS VALLEY SHOPPING CENTER,,0,G31 -735,shp-38-51,1,1
10033010,22,2,INBOUND-DOWNTOWN,,1,36 -101,shp-22-02,1,1
10034010,71D,2,OUTBOUND-WILKINSBURG,,0,71C-256,shp-71D-51,1,1
10035070,Y49,3,OUTBOUND-CCAC SOUTH,,0,Y49 -479,shp-Y49-53,1,1
10036020,27,4,INBOUND-DOWNTOWN,,1,27 -166,shp-27-01,1,1
10037070,69,3,OUTBOUND-TRAFFORD,,0,79 -386,shp-69-52,1,1
10038090,71B,1,INBOUND-DOWNTOWN,,1,71B-244,shp-71B-02,1,1
10039020,6,4,OUTBOUND-SUMMER HILL,,0,6 -029,shp-6-52,1,1
10040020,G31,4,INBOUND-DOWNTOWN,,1,G31 -732,shp-G31-02,1,1
1004020,81,4,OUTBOUND-WHARTON SQUARE,,0,81 -616,shp-81-52,1,1
10041070,8,3,OUTBOUND-WEST VIEW,,0,2 -007,shp-8-51,1,1
10042010,81,2,INBOUND-DOWNTOWN,,1,Y49 -360,shp-81-01,1,1
10043020,21,4,OUTBOUND-SEWICKLEY,,0,20 -125,shp-21-52,1,1
10044010,79,2,OUTBOUND-WILKINSBURG,,0,69 -234,shp-79-53,1,1
10045020,16,4,INBOUND-DOWNTOWN,,1,16 -094,shp-16-01,1,1
10046070,75,3,OUTBOUND-OLD FREEPORT RD,,0,75 -381,shp-75-52,1,1
10047070,P1,3,INBOUND-DOWNTOWN,,1,28X-113,shp-P1-02,1,1
10048070,51,3,OUTBOUND-WEST MIFFLIN,,0,51 -160,shp-51-53,1,1
10049090,64,1,INBOUND-LAWRENCEVILLE,,1,64 -222,shp-64-02,1,1
10050020,15,4,OUTBOUND-SUMMER HILL,,0,8 -046,shp-15-52,1,1
1005020,54,4,OUTBOUND-SOUTH HILLS JUNCTION,,0,91 -704,shp-54-56,1,1
10051090,71C,1,INBOUND-OAKLAND,,1,71C-260,shp-71C-01,1,1
10052020,51,4,OUTBOUND-BRENTWOOD LOOP,,0,51L-280,shp-51-52,1,1
10053010,4,2,OUTBOUND-TROY HILL,,0,54 -139,shp-4-52,1,1
10054010,4,2,OUTBOUND-TROY HILL,,0,91 -322,shp-4-52,1,1
10055090,P1,1,OUTBOUND-SWISSVALE,,0,P1  -342,shp-P1-52,1,1
10056020,P3,4,OUTBOUND-SWISSVALE,,0,P3  -806,shp-P3-52,1,1
10057090,71D,1,INBOUND-OAKLAND,,1,71C-262,shp-71D-01,1,1
10058090,28X,1,INBOUND-DOWNTOWN AND OAKLAND,,1,86 -306,shp-28X-02,1,1
10059020,91,4,OUTBOUND-VA HOSPITAL,,0,91 -703,shp-91-54,1,1
10060020,8,4,INBOUND-DOWNTOWN,,1,8 -039,shp-8-01,1,1
1006020,P3,4,OUTBOUND-SWISSVALE,,0,71C-556,shp-P3-52,1,1
10061070,22,3,OUTBOUND-KENNEDY CENTER,,0,21 -081,shp-22-51,1,1
10062090,51,1,INBOUND-DOWNTOWN,,1,51 -134,shp-51-03,1,1
10063090,91,1,OUTBOUND-VA HOSPITAL,,0,13 -032,shp-91-54,1,1
10064010,61B,2,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61B-201,shp-61B-54,1,1
10065020,28X,4,INBOUND-DOWNTOWN AND OAKLAND,,1,87 -664,shp-28X-02,1,1
10066090,64,1,INBOUND-LAWRENCEVILLE,,1,61B-199,shp-64-02,1,1
10067020,13,4,INBOUND-DOWNTOWN,,1,13 -065,shp-13-01,1,1
10068090,82,1,INBOUND-DOWNTOWN,,1,75 -278,shp-82-02,1,1
10069070,61C,3,INBOUND-DOWNTOWN,,1,61C-286,shp-61C-02,1,1
10070070,22,3,INBOUND-DOWNTOWN,,1,22 -086,shp-22-02,1,1
1007070,55,3,OUTBOUND-WEST MIFFLIN,,0,55 -189,shp-55-51,1,1
10071070,43,3,OUTBOUND-SOUTH HILLS JUNCTION,,0,44 -137,shp-43-52,1,1
10072010,26,2,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,26 -077,shp-26-51,1,1
10073020,71D,4,OUTBOUND-WILKINSBURG,,0,P12 -780,shp-71D-51,1,1
10074070,P68,3,OUTBOUND-FORBES HOSPITAL,,0,P68 -464,shp-P68-51,1,1
10075020,60,4,INBOUND-OLYMPIA SHOPPING CENTER,,1,Y46 -863,shp-60-02,1,1
10076020,61A,4,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-374,shp-61A-54,1,1
10077090,71B,1,OUTBOUND-HIGHLAND PARK,,0,71B-255,shp-71B-52,1,1
10078070,28X,3,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,69 -328,shp-28X-52,1,1
10079090,55,1,OUTBOUND-WEST MIFFLIN,,0,59 -171,shp-55-51,1,1
10080020,64,4,INBOUND-LAWRENCEVILLE,,1,Y45 -861,shp-64-02,1,1
1008090,16,1,OUTBOUND-AVALON LOOP,,0,16 -051,shp-16-52,1,1
10081070,69,3,INBOUND-WILKINSBURG,,1,79 -386,shp-69-02,1,1
10082020,40,4,INBOUND-DOWNTOWN,,1,11 -051,shp-40-02,1,1
10083090,1,1,INBOUND-DOWNTOWN,,1,40 -108,shp-1-51,1,1
10084090,71D,1,INBOUND-OAKLAND,,1,67 -225,shp-71D-01,1,1
10085010,P1,2,OUTBOUND-SWISSVALE,,0,P1  -348,shp-P1-52,1,1
10086070,88,3,OUTBOUND-BAKERY SQUARE,,0,88 -423,shp-88-52,1,1
10087020,54,4,OUTBOUND-SOUTH HILLS JUNCTION,,0,54 -304,shp-54-56,1,1
10088020,16,4,INBOUND-DOWNTOWN,,1,16 -096,shp-16-01,1,1
10089020,67,4,OUTBOUND-CCAC BOYCE,,0,P69 -829,shp-67-53,1,1
10090020,15,4,OUTBOUND-SUMMER HILL,,0,91 -701,shp-15-52,1,1
1009020,75,4,OUTBOUND-OLD FREEPORT RD,,0,P69 -829,shp-75-52,1,1
10091010,8,2,INBOUND-DOWNTOWN,,1,13 -034,shp-8-01,1,1
10092020,G31,4,INBOUND-DOWNTOWN,,1,G31 -733,shp-G31-02,1,1
10093010,81,2,INBOUND-DOWNTOWN,,1,55 -157,shp-81-01,1,1
10094070,61C,3,INBOUND-DOWNTOWN,,1,61A-255,shp-61C-02,1,1
10095070,P1,3,OUTBOUND-SWISSVALE,,0,P1  -451,shp-P1-52,1,1
10096070,31,3,OUTBOUND-BRIDGEVILLE,,0,39 -128,shp-31-51,1,1
10097070,71B,3,OUTBOUND-HIGHLAND PARK,,0,P1  -450,shp-71B-52,1,1
10098010,51,2,OUTBOUND-WEST MIFFLIN,,0,51 -125,shp-51-53,1,1
10099070,20,3,OUTBOUND-KENNEDY CENTER,,0,20 -077,shp-20-51,1,1
10100070,Y49,3,INBOUND-DOWNTOWN,,1,51 -153,shp-Y49-04,1,1
1010090,43,1,INBOUND-DOWNTOWN,,1,43 -114,shp-43-01,1,1
101010,Y46,2,OUTBOUND-ELIZABETH,,0,Y46 -354,shp-Y46-53,1,1
10101070,64,3,OUTBOUND-WATERFRONT,,0,56 -203,shp-64-52,1,1
10102020,64,4,INBOUND-LAWRENCEVILLE,,1,83 -641,shp-64-02,1,1
10103020,21,4,OUTBOUND-SEWICKLEY,,0,G31 -731,shp-21-52,1,1
10104020,91,4,OUTBOUND-RIDC PARK,,0,91 -704,shp-91-51,1,1
10105070,27,3,OUTBOUND-CRAFTON INGRAM SHOPPING CENTER,,0,27 -101,shp-27-51,1,1
10106010,28X,2,OUTBOUND-PITTSBURGH INTERNATIONAL AIRPORT,,0,28X-085,shp-28X-52,1,1
10107020,Y49,4,OUTBOUND-CCAC SOUTH,,0,Y49 -882,shp-Y49-53,1,1
10108020,86,4,OUTBOUND-WILKINSBURG,,0,86 -652,shp-86-52,1,1
10109090,61A,1,INBOUND-DOWNTOWN,,1,59 -177,shp-61A-04,1,1
10110010,27,2,INBOUND-DOWNTOWN,,1,41 -111,shp-27-01,1,1
1011070,71B,3,INBOUND-DOWNTOWN,,1,71B-338,shp-71B-02,1,1
10111090,16,1,OUTBOUND-AVALON LOOP,,0,17 -055,shp-16-52,1,1
10112090,40,1,OUTBOUND-DUQUESNE HEIGHTS,,0,13 -033,shp-40-52,1,1
10113020,71B,4,OUTBOUND-HIGHLAND PARK,,0,71B-521,shp-71B-53,1,1
10114020,74,4,OUTBOUND-BEECHWOOD-TILBURY,,0,89 -679,shp-74-52,1,1
10115020,26,4,INBOUND-DOWNTOWN,,1,G31 -731,shp-26-01,1,1
10116020,51,4,INBOUND-DOWNTOWN,,1,P76 -841,shp-51-03,1,1
10117070,4,3,INBOUND-DOWNTOWN,,1,14 -055,shp-4-01,1,1
10118020,P7,4,INBOUND-DOWNTOWN,,1,P7  -836,shp-P7-01,1,1
10119020,65,4,INBOUND-DOWNTOWN,,1,65 -478,shp-65-02,1,1
10120010,86,2,INBOUND-DOWNTOWN,,1,88 -313,shp-86-01,1,1
1012010,29,2,INBOUND-DOWNTOWN,,1,26 -080,shp-29-02,1,1
10121020,69,4,INBOUND-DOWNTOWN,,1,69 -498,shp-69-03,1,1
10122090,43,1,OUTBOUND-SOUTH HILLS JUNCTION,,0,43 -115,shp-43-52,1,1
10123010,82,2,OUTBOUND-LINCOLN VIA CENTRE AVENUE,,0,82 -297,shp-82-51,1,1
10124010,2,2,OUTBOUND-NORTH HILLS VILLAGE VIA ROSS PARK MALL,,0,2 -006,shp-2-53,1,1
10125020,28X,4,INBOUND-DOWNTOWN AND OAKLAND,,1,71C-538,shp-28X-02,1,1
10126020,56,4,OUTBOUND-PENN STATE - MCKEESPORT,,0,51L-283,shp-56-51,1,1
10127070,71D,3,INBOUND-OAKLAND,,1,71C-353,shp-71D-01,1,1
10128020,58,4,OUTBOUND-CARNEGIE MELLON,,0,P68 -821,shp-58-52,1,1
10129010,60,2,INBOUND-OLYMPIA SHOPPING CENTER,,1,60 -181,shp-60-02,1,1
10130070,Y49,3,OUTBOUND-CCAC SOUTH,,0,Y49 -480,shp-Y49-53,1,1
1013090,2,1,INBOUND-DOWNTOWN,,1,2 -007,shp-2-03,1,1
10131090,71D,1,OUTBOUND-WILKINSBURG,,0,71C-256,shp-71D-51,1,1
10132010,1,2,INBOUND-DOWNTOWN,,1,54 -137,shp-1-51,1,1
10133020,86,4,INBOUND-DOWNTOWN,,1,P67 -818,shp-86-01,1,1
10134020,54,4,OUTBOUND-SOUTH HILLS JUNCTION,,0,16 -094,shp-54-56,1,1
10135090,24,1,OUTBOUND-MALL AT ROBINSON,,0,24 -073,shp-24-51,1,1
10136010,59,2,INBOUND-WEST MIFFLIN,,1,55 -157,shp-59-02,1,1
10137090,Y49,1,INBOUND-DOWNTOWN,,1,60 -181,shp-Y49-03,1,1
10138020,51,4,OUTBOUND-WEST MIFFLIN,,0,59 -340,shp-51-53,1,1
10139010,61C,2,INBOUND-DOWNTOWN,,1,61C-213,shp-61C-02,1,1
10140010,61D,2,INBOUND-OAKLAND,,1,61D-219,shp-61D-02,1,1
1014010,16,2,OUTBOUND-AVALON LOOP,,0,17 -055,shp-16-52,1,1
10141070,61B,3,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61A-242,shp-61B-54,1,1
10142020,44,4,INBOUND-DOWNTOWN,,1,44 -244,shp-44-04,1,1
10143010,75,2,OUTBOUND-MORNINGSIDE,,0,71D-268,shp-75-53,1,1
10144020,87,4,INBOUND-DOWNTOWN,,1,87 -656,shp-87-01,1,1
10145070,71B,3,OUTBOUND-HIGHLAND PARK,,0,71B-343,shp-71B-52,1,1
10146020,67,4,OUTBOUND-CCAC BOYCE,,0,67 -483,shp-67-53,1,1
10148070,71A,3,INBOUND-OAKLAND,,1,71C-351,shp-71A-01,1,1
10149020,81,4,INBOUND-DOWNTOWN,,1,81 -614,shp-81-01,1,1
10150020,69,4,OUTBOUND-FORBES HOSPITAL,,0,69 -490,shp-69-53,1,1
1015090,56,1,INBOUND-DOWNTOWN,,1,56 -162,shp-56-01,1,1
10151020,71B,4,INBOUND-DOWNTOWN,,1,71B-517,shp-71B-02,1,1
10152090,60,1,INBOUND-OLYMPIA SHOPPING CENTER,,1,60 -181,shp-60-02,1,1
10153070,91,3,OUTBOUND-VA HOSPITAL,,0,8 -029,shp-91-54,1,1
10154020,G2,4,OUTBOUND-CARNEGIE,,0,G2  -721,shp-G2-52,1,1
10155090,54,1,INBOUND-ALLEGHENY STATION,,1,54 -137,shp-54-04,1,1
10156020,71B,4,OUTBOUND-HIGHLAND PARK,,0,28X-179,shp-71B-52,1,1
10157010,71D,2,OUTBOUND-WILKINSBURG,,0,71C-260,shp-71D-51,1,1
10158020,31,4,INBOUND-DOWNTOWN,,1,41 -227,shp-31-02,1,1
10159020,P1,4,INBOUND-DOWNTOWN,,1,71C-556,shp-P1-02,1,1
10160020,71B,4,OUTBOUND-HIGHLAND PARK,,0,71B-530,shp-71B-52,1,1
1016020,8,4,OUTBOUND-WEST VIEW,,0,13 -068,shp-8-51,1,1
10161070,12,3,INBOUND-DOWNTOWN,,1,12 -035,shp-12-04,1,1
10162020,83,4,INBOUND-DOWNTOWN,,1,83 -644,shp-83-02,1,1
10163020,75,4,OUTBOUND-MORNINGSIDE,,0,P78 -853,shp-75-53,1,1
10164070,58,3,OUTBOUND-CARNEGIE MELLON,,0,58 -215,shp-58-52,1,1
10165090,88,1,INBOUND-DOWNTOWN,,1,88 -315,shp-88-01,1,1
10166020,61D,4,OUTBOUND-WATERFRONT,,0,64 -467,shp-61D-52,1,1
10167020,51,4,INBOUND-DOWNTOWN,,1,51 -276,shp-51-02,1,1
10168020,87,4,OUTBOUND-LAWRENCEVILLE SHOPPING CENTER,,0,87 -657,shp-87-53,1,1
10169020,86,4,OUTBOUND-WILKINSBURG,,0,75 -596,shp-86-52,1,1
10170070,15,3,OUTBOUND-SUMMER HILL,,0,6 -015,shp-15-52,1,1
1017070,71D,3,INBOUND-OAKLAND,,1,77 -384,shp-71D-01,1,1
10171010,16,2,INBOUND-DOWNTOWN,,1,13 -034,shp-16-01,1,1
10172020,71A,4,INBOUND-OAKLAND,,1,71D-559,shp-71A-01,1,1
10173010,61C,2,OUTBOUND-MCKEESPORT,,0,61C-215,shp-61C-52,1,1
10174090,51,1,INBOUND-DOWNTOWN,,1,55 -150,shp-51-03,1,1
10175070,91,3,OUTBOUND-VA HOSPITAL,,0,6 -022,shp-91-54,1,1
10176090,83,1,OUTBOUND-WHARTON SQUARE,,0,83 -302,shp-83-51,1,1
10177020,61B,4,OUTBOUND-BRADDOCK HILLS SHOPPING CENTER,,0,61C-412,shp-61B-54,1,1
10178020,24,4,INBOUND-DOWNTOWN,,1,24 -149,shp-24-01,1,1
10179090,64,1,INBOUND-LAWRENCEVILLE,,1,64 -224,shp-64-02,1,1
10180020,88,4,INBOUND-DOWNTOWN,,1,88 -673,shp-88-01,1,1
1018070,82,3,INBOUND-DOWNTOWN,,1,82 -405,shp-82-02,1,1
10181020,15,4,OUTBOUND-SUMMER HILL,,0,15 -079,shp-15-52,1,1
10182090,67,1,INBOUND-DOWNTOWN,,1,67 -229,shp-67-02,1,1
10183020,91,4,OUTBOUND-RIDC PARK,,0,91 -701,shp-91-51,1,1
10184090,Y46,1,INBOUND-DOWNTOWN,,1,Y46 -356,shp-Y46-04,1,1
10185070,93,3,INBOUND-GLEN HAZEL,,1,Y47 -474,shp-93-01,1,1
10186010,51,2,INBOUND-DOWNTOWN,,1,51 -134,shp-51-03,1,1
10187010,88,2,INBOUND-DOWNTOWN,,1,69 -235,shp-88-01,1,1
10188020,8,4,INBOUND-DOWNTOWN,,1,8 -046,shp-8-01,1,1
10189090,64,1,INBOUND-LAWRENCEVILLE,,1,93 -333,shp-64-02,1,1
10190020,16,4,OUTBOUND-AVALON LOOP,,0,16 -085,shp-16-52,1,1
