finding_id,route_code,route_label,route_kind,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-002,002,2,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),2 - MOUNT ROYAL,Mount Washington,"City of Pittsburgh neighborhood(s), 2022 ACS",Corridor anchor for Mount Royal / South Hills access.,2022,8596,8596,9.2,791,83.6,7186,1.2,103,4.5,387,32.5,1491,11.9,1022,68.9,3906,10.2,578,1004.1,506.7,466.8,-49.5,-53.5
FIND-20260324-004,004,4,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),4 - TROY HILL,Perry South,"City of Pittsburgh neighborhood(s), 2022 ACS",Troy Hill and Northside river communities.,2022,4045,4045,54.4,2200,34.4,1391,1.6,65,1.7,69,14.0,234,20.7,814,62.0,1050,19.4,328,673.6,275.1,326.3,-59.2,-51.6
FIND-20260324-007,007,7,non_commuter_bus,Very low efficiency (<100 weekday riders); step 1,7 - SPRING GARDEN,Fineview,"City of Pittsburgh neighborhood(s), 2022 ACS",Spring Garden and Fineview area.,2022,1268,1268,46.6,591,45.6,578,0.0,0,3.7,47,31.3,191,20.9,265,48.4,323,35.8,239,138.5,74.6,73.8,-46.2,-46.7
FIND-20260324-014,014,14,non_commuter_bus,Moderate efficiency local; step 8,14 - OHIO VALLEY,Brighton Heights,"City of Pittsburgh neighborhood(s), 2022 ACS",Ohio River North / Brighton Heights corridor.,2022,7047,7047,27.5,1938,66.5,4686,0.6,42,2.0,141,34.3,1196,9.2,642,59.8,2249,20.7,779,1327.7,717.7,605.8,-45.9,-54.4
FIND-20260324-018,018,18,non_commuter_bus,Very low efficiency (<100 weekday riders); step 1,18 - MANCHESTER,Central Northside,"City of Pittsburgh neighborhood(s), 2022 ACS",Manchester and Northside.,2022,2953,2953,29.2,862,62.3,1840,0.9,27,4.5,133,32.8,509,29.1,856,55.4,858,10.5,163,95.9,50.0,45.7,-47.9,-52.4
FIND-20260324-019L,019L,19L,commuter_bus,Substantial service duplication/overlap; step 2,19L - EMSWORTH LIMITED,Brighton Heights,"City of Pittsburgh neighborhood(s), 2022 ACS",Emsworth Limited — Ohio River north.,2022,7047,7047,27.5,1938,66.5,4686,0.6,42,2.0,141,34.3,1196,9.2,642,59.8,2249,20.7,779,653.4,198.9,265.3,-69.6,-59.4
FIND-20260324-020,020,20,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),20 - KENNEDY,Crafton Heights,"City of Pittsburgh neighborhood(s), 2022 ACS",Kennedy / western corridor.,2022,3951,3951,34.2,1351,55.4,2189,0.1,4,0.4,16,18.2,301,26.5,1047,73.0,1367,13.5,253,646.1,335.4,311.6,-48.1,-51.8
FIND-20260324-026,026,26,non_commuter_bus,Moderate efficiency local; step 8,26 - CHARTIERS,Crafton Heights,"City of Pittsburgh neighborhood(s), 2022 ACS",Chartiers Valley / West End.,2022,3951,3951,34.2,1351,55.4,2189,0.1,4,0.4,16,18.2,301,26.5,1047,73.0,1367,13.5,253,989.2,520.2,641.7,-47.4,-35.1
FIND-20260324-029,029,29,non_commuter_bus,Moderate efficiency local; step 8,29 - ROBINSON,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",Robinson and western suburbs (outside city neighborhood layer).,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,933.1,577.7,769.2,-38.1,-17.6
FIND-20260324-036,036,36,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),36 - BANKSVILLE,Banksville,"City of Pittsburgh neighborhood(s), 2022 ACS",Banksville and South Hills.,2022,3677,3677,15.7,577,69.8,2567,8.6,316,0.7,26,30.2,543,9.8,350,74.0,1456,3.5,69,664.5,227.3,306.7,-65.8,-53.8
FIND-20260324-038,038,38,non_commuter_bus,Moderate efficiency local; step 8,38 - GREEN TREE,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",Green Tree borough (outside city neighborhood layer).,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,3035.6,671.9,587.9,-77.9,-80.6
FIND-20260324-039,039,39,non_commuter_bus,Moderate efficiency local; step 8,39 - BROOKLINE,Brookline,"City of Pittsburgh neighborhood(s), 2022 ACS",Brookline.,2022,12924,12924,4.1,530,90.4,11683,1.6,207,6.7,866,35.0,2079,10.4,1344,75.7,5006,7.6,503,1577.7,572.3,741.7,-63.7,-53.0
FIND-20260324-040,040,40,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),40 - MOUNT WASHINGTON,Mount Washington,"City of Pittsburgh neighborhood(s), 2022 ACS",Mount Washington.,2022,8596,8596,9.2,791,83.6,7186,1.2,103,4.5,387,32.5,1491,11.9,1022,68.9,3906,10.2,578,615.8,245.6,368.5,-60.1,-40.2
