finding_id,route_code,route_label,route_kind,reduction_tier,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-000,000,MI,light_rail_or_incline,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",MONONGAHELA INCLINE,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",Mapping note: default rationale.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,1252.9,396.5,,-68.4,
FIND-20260324-001,001,1,non_commuter_bus,major,Major frequency reduction; step 6,1 - FREEPORT ROAD,"Lincoln-Lemington-Belmar, East Allegheny-North Shore, Central Business District - Crawford Roberts, Allegheny Center-Allegheny West, Troy Hill - Spring Garden","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,4485,4485,80.7,3619,16.4,736,0.4,18,8.3,372,9.7,169,32.6,1355,55.9,830,25.8,383,1723.4,1197.1,1543.3,-30.5,-10.4
FIND-20260324-006,006,6,non_commuter_bus,major,Major frequency reduction; step 6,6 - SPRING HILL,"Spring Hill-City View, Northview Heights - Summer Hill, East Allegheny-North Shore, Central Business District - Crawford Roberts, Allegheny Center-Allegheny West, Troy Hill - Spring Garden","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,2466,2466,27.3,673,65.0,1603,0.4,10,0.0,0,13.6,155,29.6,683,62.0,595,4.0,38,1195.2,652.4,938.0,-45.4,-21.5
FIND-20260324-008,008,8,non_commuter_bus,major,Major frequency reduction; step 6,8 - PERRYSVILLE,"Perry North, Perry South, Allegheny Center-Allegheny West, Central Northside, East Allegheny-North Shore, Central Business District - Crawford Roberts","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,10783,10783,36.8,3968,53.4,5758,0.9,97,2.9,313,22.9,1107,21.3,2260,62.8,3295,13.4,703,3271.2,1599.6,1767.0,-51.1,-46.0
FIND-20260324-011,011,11,non_commuter_bus,major,Major frequency reduction; step 6,11 - FINEVIEW,"Perry South, Fineview, Central Business District - Crawford Roberts, Central Northside, Allegheny Center-Allegheny West, East Allegheny-North Shore","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,8266,8266,43.4,3587,47.4,3918,0.8,66,3.3,273,26.1,1000,23.6,1921,55.3,2161,21.9,856,563.3,338.8,401.0,-39.9,-28.8
FIND-20260324-012,012,12,non_commuter_bus,major,Major frequency reduction; step 6,12 - MCKNIGHT,"Northview Heights - Summer Hill, Central Business District - Crawford Roberts, East Allegheny-North Shore, Allegheny Center-Allegheny West, Spring Hill-City View, Perry North","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,6251,6251,27.0,1688,64.3,4019,0.3,19,1.3,81,17.7,487,21.8,1318,66.5,1972,7.2,214,1159.6,769.2,947.9,-33.7,-18.3
FIND-20260324-013,013,13,non_commuter_bus,major,Major frequency reduction; step 6,13 - BELLEVUE,"Brighton Heights, Manchester-California-Kirkbride, Marshall-Shadeland, Allegheny Center-Allegheny West, Central Northside, Central Business District - Crawford Roberts, East Allegheny-North Shore","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,14365,14365,33.5,4812,57.6,8274,0.5,72,3.5,503,28.2,1986,20.6,2930,56.6,4213,19.6,1459,2135.9,1163.6,1408.5,-45.5,-34.1
FIND-20260324-016,016,16,non_commuter_bus,major,Major frequency reduction; step 6,16 - BRIGHTON,"Brighton Heights, Marshall-Shadeland, Allegheny Center-Allegheny West, Perry South, Central Northside, Manchester-California-Kirkbride, Central Business District - Crawford Roberts, East Allegheny-North Shore","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,18410,18410,38.7,7125,51.8,9536,0.8,147,3.1,571,24.7,2152,20.6,3740,58.0,5299,19.5,1782,3907.9,2013.5,2185.0,-48.5,-44.1
FIND-20260324-017,017,17,non_commuter_bus,major,Major frequency reduction; step 6,17 - SHADELAND,"Marshall-Shadeland, Manchester-California-Kirkbride, Brighton Heights, Allegheny Center-Allegheny West, East Allegheny-North Shore, Central Northside, Central Business District - Crawford Roberts, Perry South","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,18410,18410,38.7,7125,51.8,9536,0.8,147,3.1,571,24.7,2152,20.6,3740,58.0,5299,19.5,1782,1303.1,755.1,941.1,-42.1,-27.8
FIND-20260324-021,021,21,non_commuter_bus,major,Major frequency reduction; step 6,21 - CORAOPOLIS,"Esplen-Sheraden-ChartiersCity-Windgap-Fairywood, South Shore, Central Business District - Crawford Roberts, West End - Elliott","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,47,47,0.0,0,100.0,47,0.0,0,0.0,0,35.9,14,0.0,0,40.4,19,12.8,6,1400.1,775.2,888.7,-44.6,-36.5
FIND-20260324-022,022,22,non_commuter_bus,major,Major frequency reduction; step 6,22 - MCCOY,"Esplen-Sheraden-ChartiersCity-Windgap-Fairywood, South Shore, Central Business District - Crawford Roberts, West End - Elliott","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,47,47,0.0,0,100.0,47,0.0,0,0.0,0,35.9,14,0.0,0,40.4,19,12.8,6,874.8,443.3,536.2,-49.3,-38.7
FIND-20260324-024,024,24,non_commuter_bus,major,Major frequency reduction; step 6,24 - WEST PARK,"Esplen-Sheraden-ChartiersCity-Windgap-Fairywood, South Shore, Central Business District - Crawford Roberts, West End - Elliott","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,47,47,0.0,0,100.0,47,0.0,0,0.0,0,35.9,14,0.0,0,40.4,19,12.8,6,1702.4,890.1,1131.4,-47.7,-33.5
FIND-20260324-027,027,27,non_commuter_bus,major,Major frequency reduction; step 6,27 - FAIRYWOOD,"Esplen-Sheraden-ChartiersCity-Windgap-Fairywood, Crafton Heights, West End - Elliott, South Shore, Central Business District - Crawford Roberts","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,3998,3998,17.1,684,77.7,3106,0.1,4,0.2,8,27.1,459,13.2,528,56.7,1089,13.1,252,1136.5,579.1,765.6,-49.0,-32.6
FIND-20260324-028X,028X,28X,non_commuter_bus,minor,PIT–Carnegie West Busway only,28X - AIRPORT FLYER,"Shadyside, Squirrel Hill North, Central Business District - Crawford Roberts, North Oakland, Central Oakland, South Shore, Terrace Village - West Oakland, Bluff, East Carnegie - Oakwood, Esplen-Sheraden-ChartiersCity-Windgap-Fairywood, Larimer, Point Breeze-RegentSquare, South Oakland, Point Breeze North, West End - Elliott","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,55013,55013,18.8,10342,66.9,36804,9.0,4951,3.7,2035,25.4,5000,31.5,12016,36.6,9501,13.8,3582,2008.5,951.2,1298.1,-52.6,-35.4
FIND-20260324-031,031,31,non_commuter_bus,major,Major frequency reduction; step 6,31 - BRIDGEVILLE,"Westwood - Ridgemont, Central Business District - Crawford Roberts, East Carnegie - Oakwood, West End - Elliott, South Shore, Crafton Heights","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,3998,3998,17.1,684,77.7,3106,0.1,4,0.2,8,27.1,459,13.2,528,56.7,1089,13.1,252,1691.4,779.6,1040.1,-53.9,-38.5
FIND-20260324-044,044,44,non_commuter_bus,minor,Kohne/Fisher–South Hills Junction only,44 - VIA KNOXVILLE,"Beltzhoover - Bon Air, Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair, Carrick, Central Business District - Crawford Roberts, Knoxville, Mount Washington, South Shore, Allentown","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,24863,24863,22.6,5619,69.8,17354,2.5,622,3.3,820,23.6,2725,15.7,3894,58.8,7972,16.3,2210,1022.2,511.7,548.4,-49.9,-46.4
FIND-20260324-048,048,48,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",48 - ARLINGTON,"South Side Flats, South Side Slopes, Allentown, Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair, Central Business District - Crawford Roberts, South Shore, Beltzhoover - Bon Air, Mount Washington","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,21758,21758,13.8,3003,80.7,17559,1.2,261,3.1,674,29.7,3488,16.0,3478,57.2,8134,14.3,2033,3017.5,1299.3,1600.8,-56.9,-46.9
FIND-20260324-051,051,51,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",51 - CARRICK,"Carrick, South Side Flats, South Side Slopes, Central Business District - Crawford Roberts, South Shore, Knoxville","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,25450,25450,16.9,4301,75.3,19164,3.2,814,2.8,713,27.3,3314,16.9,4291,59.3,8518,14.6,2097,8062.6,4233.4,5417.1,-47.5,-32.8
FIND-20260324-053,053,53,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",53 - HOMESTEAD PARK,Lincoln Place,"City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,3272,3272,3.8,124,93.6,3063,2.0,65,0.5,16,31.2,432,14.1,460,77.9,1119,4.8,69,,,,,
FIND-20260324-054,054,54,non_commuter_bus,major,Major frequency reduction; step 6,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,"Bloomfield, Beltzhoover - Bon Air, Knoxville, Allegheny Center-Allegheny West, Lower Lawrenceville, Polish Hill, Strip District, North Oakland, South Side Slopes, East Allegheny-North Shore, South Side Flats, Terrace Village - West Oakland, Central Oakland, Allentown, Mount Washington, South Oakland, Central Lawrenceville, Central Northside, Troy Hill - Spring Garden","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,66263,66263,14.5,9608,74.4,49300,5.4,3578,3.3,2187,28.3,8962,25.2,15031,50.5,19359,13.5,5175,4018.5,2073.0,2961.7,-48.4,-26.3
FIND-20260324-055,055,55,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",55 - GLASSPORT,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",Mapping note: default rationale.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,1000.1,690.2,767.9,-31.0,-23.2
FIND-20260324-056,056,56,non_commuter_bus,major,Major frequency reduction; step 6,56 - LINCOLN PLACE,"Hazelwood-Glen Hazel -New Homestead-Hays, Lincoln Place, Central Business District - Crawford Roberts, South Oakland, Bluff","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,13653,13653,16.0,2184,74.4,10158,5.1,696,2.6,355,22.2,729,35.9,2769,45.1,2214,9.1,447,1705.2,801.1,1008.1,-53.0,-40.9
FIND-20260324-057,057,57,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",57 - HAZELWOOD,"Hazelwood-Glen Hazel -New Homestead-Hays, Central Business District - Crawford Roberts, South Oakland, Bluff, Squirrel Hill South","City of Pittsburgh neighborhood(s), 2022 ACS",Derived from city stop coverage (`route_stop_per_route.csv`) mapped through `n_crosswalk.csv`.,2022,25452,25452,16.3,4149,67.7,17231,8.5,2163,4.1,1044,25.7,2192,36.6,6981,36.5,4039,12.5,1383,1257.7,603.9,736.5,-52.0,-41.4
FIND-20260324-059,059,59,non_commuter_bus,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",59 - MON VALLEY,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",Mapping note: default rationale.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,2109.0,1597.6,1930.6,-24.2,-8.5
