hood,munihood_display,NeighborhoodGroup,GeographyType,notes
Allegheny Center,,Allegheny Center-Allegheny West,neighborhood group,
Allegheny West,,Allegheny Center-Allegheny West,neighborhood group,
Arlington-Arlington Heights,,"Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair",neighborhood group,
Beltzhoover,,Beltzhoover - Bon Air,neighborhood group,
Bon Air,,Beltzhoover - Bon Air,neighborhood group,
California-Kirkbride,,Manchester-California-Kirkbride,neighborhood group,
Central Business District,,Central Business District - Crawford Roberts,neighborhood group,
Chartiers City,,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,neighborhood group,
Chateau,,East Allegheny-North Shore,neighborhood group,not in ACS group label; geographic proxy
Crawford-Roberts,,Central Business District - Crawford Roberts,neighborhood group,
East Allegheny,,East Allegheny-North Shore,neighborhood group,
East Carnegie,,East Carnegie - Oakwood,neighborhood group,
Elliott,,West End - Elliott,neighborhood group,
Esplen,,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,neighborhood group,
Fairywood,,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,neighborhood group,
Glen Hazel,,Hazelwood-Glen Hazel -New Homestead-Hays,neighborhood group,
Hays,,Hazelwood-Glen Hazel -New Homestead-Hays,neighborhood group,
Hazelwood,,Hazelwood-Glen Hazel -New Homestead-Hays,neighborhood group,
Homewood North,,Homewood North - Homewood West,neighborhood group,
Homewood West,,Homewood North - Homewood West,neighborhood group,
Manchester,,Manchester-California-Kirkbride,neighborhood group,
Mt. Oliver,,"Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair",neighborhood group,
New Homestead,,Hazelwood-Glen Hazel -New Homestead-Hays,neighborhood group,
North Shore,,East Allegheny-North Shore,neighborhood group,
Northview Heights,,Northview Heights - Summer Hill,neighborhood group,
Oakwood,,East Carnegie - Oakwood,neighborhood group,
Point Breeze,,Point Breeze-RegentSquare,neighborhood group,
Regent Square,,Point Breeze-RegentSquare,neighborhood group,
Ridgemont,,Westwood - Ridgemont,neighborhood group,
Sheraden,,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,neighborhood group,
Spring Garden,,Troy Hill - Spring Garden,neighborhood group,
St. Clair,,"Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair",neighborhood group,
Summer Hill,,Northview Heights - Summer Hill,neighborhood group,
Terrace Village,,Terrace Village - West Oakland,neighborhood group,
Troy Hill,,Troy Hill - Spring Garden,neighborhood group,
West End,,West End - Elliott,neighborhood group,
West Oakland,,Terrace Village - West Oakland,neighborhood group,
Westwood,,Westwood - Ridgemont,neighborhood group,
Windgap,,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,neighborhood group,
