finding_id,route_code,route_label,route_kind,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-002,002,2,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),2 - MOUNT ROYAL,"North Shore, East Allegheny, Allegheny Center, Central Business District, Central Northside, Troy Hill, Crawford-Roberts, Spring Garden, Strip District","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,4424,4424,15.1,668,71.6,3168,8.2,363,3.7,164,46.2,1210,18.9,834,51.4,1392,7.2,195,1004.1,506.7,466.8,-49.5,-53.5
FIND-20260324-004,004,4,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),4 - TROY HILL,"Troy Hill, Spring Garden, East Allegheny, North Shore, Allegheny Center, Summer Hill, Spring Hill-City View, Perry North, Central Northside, Central Business District, Strip District","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,10675,10675,21.1,2252,67.9,7248,4.3,459,2.5,267,31.9,1713,20.4,2133,59.0,3348,7.2,409,673.6,275.1,326.3,-59.2,-51.6
FIND-20260324-007,007,7,non_commuter_bus,Very low efficiency (<100 weekday riders); step 1,7 - SPRING GARDEN,"Spring Garden, Spring Hill-City View, East Allegheny, Troy Hill, North Shore, Allegheny Center, Central Northside, Central Business District, Summer Hill, Northview Heights, Perry North, Strip District","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,10675,10675,21.1,2252,67.9,7248,4.3,459,2.5,267,31.9,1713,20.4,2133,59.0,3348,7.2,409,138.5,74.6,73.8,-46.2,-46.7
FIND-20260324-014,014,14,non_commuter_bus,Moderate efficiency local; step 8,14 - OHIO VALLEY,"Chateau, Manchester, Marshall-Shadeland, Allegheny West, North Shore, Brighton Heights, California-Kirkbride, Central Northside","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,14365,14365,33.5,4812,57.6,8274,0.5,72,3.5,503,28.2,1986,20.6,2930,56.6,4213,19.6,1459,1327.7,717.7,605.8,-45.9,-54.4
FIND-20260324-018,018,18,non_commuter_bus,Very low efficiency (<100 weekday riders); step 1,18 - MANCHESTER,"Manchester, Chateau, Allegheny West, California-Kirkbride, Central Northside, North Shore, Allegheny Center, Marshall-Shadeland","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,7318,7318,36.4,2664,53.1,3886,0.5,37,4.3,315,25.2,896,26.3,1907,55.0,2025,19.0,700,95.9,50.0,45.7,-47.9,-52.4
FIND-20260324-019L,019L,19L,commuter_bus,Substantial service duplication/overlap; step 2,19L - EMSWORTH LIMITED,"Central Business District, Crawford-Roberts, Strip District, Brighton Heights, Marshall-Shadeland, North Shore","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,12883,12883,24.1,3105,63.8,8219,5.4,696,3.0,386,37.1,2432,13.8,1760,54.0,3810,17.4,1228,653.4,198.9,265.3,-69.6,-59.4
FIND-20260324-020,020,20,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),20 - KENNEDY,"Esplen, Sheraden, Duquesne Heights, Marshall-Shadeland, South Shore, Central Business District, Elliott, Mount Washington, Chateau, West End","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,15284,15284,13.2,2017,80.3,12273,1.0,153,2.6,397,32.4,2564,11.0,1674,59.0,5473,13.0,1206,646.1,335.4,311.6,-48.1,-51.8
FIND-20260324-026,026,26,non_commuter_bus,Moderate efficiency local; step 8,26 - CHARTIERS,"Sheraden, Crafton Heights, Elliott, Chartiers City, Windgap, Duquesne Heights, West End, Fairywood, Esplen, Central Business District, South Shore, Mount Washington","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,14870,14870,10.9,1621,83.2,12372,1.0,149,1.6,238,32.6,2466,11.7,1739,63.6,5734,9.5,856,989.2,520.2,641.7,-47.4,-35.1
FIND-20260324-029,029,29,non_commuter_bus,Moderate efficiency local; step 8,29 - ROBINSON,"Elliott, Crafton Heights, Central Business District, Duquesne Heights, West End, South Shore, Strip District, Westwood, Crawford-Roberts, Mount Washington","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,16341,16341,8.9,1454,82.7,13514,3.9,637,1.9,310,37.9,3272,11.1,1813,60.4,6146,8.4,855,933.1,577.7,769.2,-38.1,-17.6
FIND-20260324-036,036,36,non_commuter_bus,Low efficiency commuter/local; step 5 (Silver Line = SLVR),36 - BANKSVILLE,"Banksville, Beechview, Central Business District, Ridgemont","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,11324,11324,16.6,1880,72.5,8210,4.7,532,2.1,238,28.4,1446,9.6,1073,76.1,4627,6.3,383,664.5,227.3,306.7,-65.8,-53.8
