finding_id,route_code,route_label,route_kind,reduction_tier,primary_reduction_detail,schedule_name,anchor_neighborhoods,geography_layer,anchor_rationale,acs_year,population_2022_residents,affected_total_pop_2022,pct_white_alone_residents,pop_white_alone_residents_est,pct_black_alone_residents,pop_black_alone_residents_est,pct_asian_alone_residents,pop_asian_alone_residents_est,pct_hispanic_residents,pop_hispanic_residents_est,pct_households_top2_income_brackets,households_top2_income_brackets_est,pct_below_poverty_line_residents,pop_below_poverty_line_residents_est,pct_journey_to_work_auto_drove_carpool,workers_commute_car_truck_van_est,pct_journey_to_work_public_transit,workers_commute_public_transit_est,weekday_avg_riders_baseline_2017_2019,weekday_avg_riders_covid_2020_2021,weekday_avg_riders_recent_2023_2024,pct_change_weekday_riders_covid_vs_baseline,pct_change_weekday_riders_recent_vs_baseline
FIND-20260324-000,000,MI,light_rail_or_incline,minor,"End all bus, light rail, and incline service at 11:00 p.m. daily; step 4",MONONGAHELA INCLINE,None (see geography note),"Allegheny County (region row), suburban / out-of-city proxy",No stop-based neighborhood mapping in neighborhood_route_service.json; county proxy.,2022,1245310,1245310,12.7,158154,77.8,968851,4.1,51058,2.4,29887,36.3,198066,11.1,134535,72.0,451909,6.9,43308,1252.9,396.5,,-68.4,
FIND-20260324-001,001,1,non_commuter_bus,major,Major frequency reduction; step 6,1 - FREEPORT ROAD,"North Shore, East Allegheny, Allegheny Center, Lincoln-Lemington-Belmar, Central Business District, Central Northside, Troy Hill, Crawford-Roberts, Spring Garden, Strip District","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,8909,8909,37.0,3296,53.2,4740,5.6,499,5.3,472,34.0,1482,23.5,2014,52.9,2218,13.4,562,1723.4,1197.1,1543.3,-30.5,-10.4
FIND-20260324-006,006,6,non_commuter_bus,major,Major frequency reduction; step 6,6 - SPRING HILL,"Spring Hill-City View, East Allegheny, Northview Heights, Spring Garden, North Shore, Troy Hill, Allegheny Center, Summer Hill, Central Business District, Perry South, Central Northside, Perry North, Crawford-Roberts, Strip District, Fineview","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,15988,15988,30.9,4940,58.6,9369,3.1,496,2.6,416,28.8,2203,20.5,3209,57.7,4636,14.0,1125,1195.2,652.4,938.0,-45.4,-21.5
FIND-20260324-008,008,8,non_commuter_bus,major,Major frequency reduction; step 6,8 - PERRYSVILLE,"Perry South, Perry North, Fineview, Central Northside, Allegheny Center, East Allegheny, Northview Heights, North Shore, Central Business District, Summer Hill, California-Kirkbride, Spring Hill-City View","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,14517,14517,36.8,5342,54.2,7868,0.6,87,2.5,363,22.7,1494,22.9,3248,59.8,4111,16.0,1100,3271.2,1599.6,1767.0,-51.1,-46.0
FIND-20260324-011,011,11,non_commuter_bus,major,Major frequency reduction; step 6,11 - FINEVIEW,"Fineview, Perry South, Central Northside, Allegheny Center, East Allegheny, Central Business District, North Shore, Spring Hill-City View, Crawford-Roberts, Northview Heights, Strip District, California-Kirkbride, Marshall-Shadeland","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,16568,16568,33.7,5583,55.4,9179,3.1,514,2.8,464,28.1,2259,22.1,3587,55.0,4489,16.9,1379,563.3,338.8,401.0,-39.9,-28.8
FIND-20260324-012,012,12,non_commuter_bus,major,Major frequency reduction; step 6,12 - MCKNIGHT,"East Allegheny, Perry North, Spring Hill-City View, Allegheny Center, Fineview, Central Northside, Central Business District, Summer Hill, Northview Heights, Perry South, North Shore, Crawford-Roberts, Strip District, Spring Garden, Troy Hill","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,15988,15988,30.9,4940,58.6,9369,3.1,496,2.6,416,28.8,2203,20.5,3209,57.7,4636,14.0,1125,1159.6,769.2,947.9,-33.7,-18.3
FIND-20260324-013,013,13,non_commuter_bus,major,Major frequency reduction; step 6,13 - BELLEVUE,"Marshall-Shadeland, Brighton Heights, California-Kirkbride, Allegheny Center, Central Northside, Manchester, Allegheny West, Perry South, Chateau, East Allegheny, North Shore, Central Business District, Fineview","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,19678,19678,40.3,7930,50.6,9957,0.6,118,3.2,630,26.0,2423,20.7,4021,56.1,5499,22.8,2235,2135.9,1163.6,1408.5,-45.5,-34.1
FIND-20260324-016,016,16,non_commuter_bus,major,Major frequency reduction; step 6,16 - BRIGHTON,"Brighton Heights, Perry South, Marshall-Shadeland, Allegheny Center, Central Northside, California-Kirkbride, Allegheny West, East Allegheny, North Shore, Perry North, Central Business District, Fineview","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,23463,23463,38.0,8916,52.7,12365,0.5,117,3.1,727,25.3,2766,19.6,4540,58.6,6920,20.7,2444,3907.9,2013.5,2185.0,-48.5,-44.1
FIND-20260324-017,017,17,non_commuter_bus,major,Major frequency reduction; step 6,17 - SHADELAND,"Marshall-Shadeland, Allegheny Center, Manchester, Central Northside, California-Kirkbride, Brighton Heights, Perry South, Chateau, East Allegheny, Allegheny West, North Shore, Central Business District, Fineview","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,19678,19678,40.3,7930,50.6,9957,0.6,118,3.2,630,26.0,2423,20.7,4021,56.1,5499,22.8,2235,1303.1,755.1,941.1,-42.1,-27.8
FIND-20260324-021,021,21,non_commuter_bus,major,Major frequency reduction; step 6,21 - CORAOPOLIS,"Esplen, Sheraden, Duquesne Heights, South Shore, Central Business District, Elliott, Mount Washington, Chateau, West End, Marshall-Shadeland","City of Pittsburgh neighborhood(s), 2022 ACS",Anchor list from `data/neighborhood_route_service.json` (stop/polygon + buffer; not from route line geometry). Rebuild: `python3 scripts/build_neighborhood_route_service.py`.,2022,15284,15284,13.2,2017,80.3,12273,1.0,153,2.6,397,32.4,2564,11.0,1674,59.0,5473,13.0,1206,1400.1,775.2,888.7,-44.6,-36.5
