neighborhood,status_tags,routes_before_count,routes_before,routes_losing_count,routes_losing,reduced_routes_count,reduced_routes,routes_after_count,routes_after,routes_before_street_count,routes_before_street,routes_losing_street_count,routes_losing_street,reduced_routes_street_count,reduced_routes_street,routes_after_street_count,routes_after_street,population_total,below_poverty_count,below_poverty_pct,transit_dependent_count_proxy,transit_dependent_pct_proxy
Allegheny Center,eliminated;reduced,18,001;002;004;006;007;008;011;012;013;015;016;017;018;054;BLUE;P13;RED;SLVR,6,002;004;007;018;P13;SLVR,11,001;006;008;011;012;013;016;017;054;BLUE;RED,12,001;006;008;011;012;013;015;016;017;054;BLUE;RED,18,001;002;004;006;007;008;011;012;013;015;016;017;018;054;BLUE;P13;RED;SLVR,6,002;004;007;018;P13;SLVR,11,001;006;008;011;012;013;016;017;054;BLUE;RED,12,001;006;008;011;012;013;015;016;017;054;BLUE;RED,2133,315,0.148374941,126,0.082894737
Allegheny West,eliminated;reduced,10,013;014;015;016;017;018;054;BLUE;RED;SLVR,3,014;018;SLVR,6,013;016;017;054;BLUE;RED,7,013;015;016;017;054;BLUE;RED,10,013;014;015;016;017;018;054;BLUE;RED;SLVR,3,014;018;SLVR,6,013;016;017;054;BLUE;RED,7,013;015;016;017;054;BLUE;RED,2133,315,0.148374941,126,0.082894737
Allentown,eliminated;reduced,17,039;040;041;043;044;048;051;051L;054;BLUE;RED;SLVR;Y1;Y45;Y46;Y47;Y49,10,039;040;041;043;051L;SLVR;Y1;Y45;Y47;Y49,7,044;048;051;054;BLUE;RED;Y46,7,044;048;051;054;BLUE;RED;Y46,17,039;040;041;043;044;048;051;051L;054;BLUE;RED;SLVR;Y1;Y45;Y46;Y47;Y49,10,039;040;041;043;051L;SLVR;Y1;Y45;Y47;Y49,7,044;048;051;054;BLUE;RED;Y46,7,044;048;051;054;BLUE;RED;Y46,1966,490,0.24923703,240,0.236686391
Arlington,reduced,5,044;048;051;054;075,0,,5,044;048;051;054;075,5,044;048;051;054;075,5,044;048;051;054;075,0,,5,044;048;051;054;075,5,044;048;051;054;075,2902,662,0.228118539,142,0.105891126
Arlington Heights,reduced,2,048;075,0,,2,048;075,2,048;075,2,048;075,0,,2,048;075,2,048;075,2902,662,0.228118539,142,0.105891126
Banksville,eliminated;reduced,2,036;RED,1,036,1,RED,1,RED,2,036;RED,1,036,1,RED,1,RED,3677,349,0.097622378,69,0.035060976
Bedford Dwellings,eliminated;reduced,21,054;077;081;082;083;086;087;088;091;P1;P10;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,9,P10;P12;P16;P17;P67;P69;P7;P71;P76,12,054;077;081;082;083;086;087;088;091;P1;P68;P78,12,054;077;081;082;083;086;087;088;091;P1;P68;P78,9,054;077;081;082;083;086;087;088;091,0,,9,054;077;081;082;083;086;087;088;091,9,054;077;081;082;083;086;087;088;091,1380,715,0.518115942,156,0.514851485
Beechview,eliminated;reduced,14,036;039;040;041;043;044;BLUE;RED;SLVR;Y1;Y45;Y46;Y47;Y49,10,036;039;040;041;043;SLVR;Y1;Y45;Y47;Y49,4,044;BLUE;RED;Y46,4,044;BLUE;RED;Y46,9,036;039;040;041;043;044;BLUE;RED;SLVR,6,036;039;040;041;043;SLVR,3,044;BLUE;RED,3,044;BLUE;RED,7647,721,0.094868421,376,0.091439689
Beltzhoover,eliminated;reduced,16,039;040;041;043;044;048;051L;054;BLUE;RED;SLVR;Y1;Y45;Y46;Y47;Y49,10,039;040;041;043;051L;SLVR;Y1;Y45;Y47;Y49,6,044;048;054;BLUE;RED;Y46,6,044;048;054;BLUE;RED;Y46,10,039;040;043;044;048;051L;054;BLUE;RED;SLVR,5,039;040;043;051L;SLVR,5,044;048;054;BLUE;RED,5,044;048;054;BLUE;RED,2955,928,0.314043993,245,0.181481481
Bloomfield,eliminated;reduced,25,054;064;071A;071C;075;077;082;086;087;088;089;093;P1;P10;P12;P16;P17;P3;P67;P68;P69;P7;P71;P76;P78,9,P10;P12;P16;P17;P67;P69;P7;P71;P76,15,054;064;071A;071C;075;077;082;086;087;088;093;P1;P3;P68;P78,16,054;064;071A;071C;075;077;082;086;087;088;089;093;P1;P3;P68;P78,13,054;064;071A;071C;075;077;082;086;087;088;089;093;P3,0,,12,054;064;071A;071C;075;077;082;086;087;088;093;P3,13,054;064;071A;071C;075;077;082;086;087;088;089;093;P3,8916,996,0.112339274,917,0.150180151
