finding_id,route_status,source_route_code,canonical_route_id,source_route_label,route_name,in_route_lines_geojson,match_rule,note_069_vs_p69
FIND-20260324-002,eliminated,002,2,2,2 - MOUNT ROYAL,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-004,eliminated,004,4,4,4 - TROY HILL,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-007,eliminated,007,7,7,7 - SPRING GARDEN,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-014,eliminated,014,14,14,14 - OHIO VALLEY,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-018,eliminated,018,18,18,18 - MANCHESTER,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-019L,eliminated,019L,19L,19L,19L - EMSWORTH LIMITED,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-020,eliminated,020,20,20,20 - KENNEDY,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-026,eliminated,026,26,26,26 - CHARTIERS,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-029,eliminated,029,29,29,29 - ROBINSON,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-036,eliminated,036,36,36,36 - BANKSVILLE,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-038,eliminated,038,38,38,38 - GREEN TREE,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-039,eliminated,039,39,39,39 - BROOKLINE,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-040,eliminated,040,40,40,40 - MOUNT WASHINGTON,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-041,eliminated,041,41,41,41 - BOWER HILL,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-043,eliminated,043,43,43,43 - BAILEY,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-051L,eliminated,051L,51L,51L,51L - CARRICK LIMITED,yes,exact_or_normalized_match,kept distinct keys
FIND-20260324-052L,eliminated,052L,52L,52L,52L - HOMEVILLE LIMITED,yes,exact_or_normalized_match,kept distinct keys
