neighborhood_group,geography_type,profile_neighborhood_group,total_pop,share_below_50pct_poverty_threshold,share_below_100pct_poverty_threshold,share_commute_car_truck_van,share_commute_public_transit,share_commute_bicycle,share_commute_walked,share_commute_other_modes,share_commute_worked_from_home,share_hh_income_100k_to_199k,share_hh_income_200k_plus
Allegheny Center,neighborhood group,Allegheny Center-Allegheny West,2133.0,0.068770608,0.148374941,0.385526316,0.082894737,0.0,0.253289474,0.004605263,0.273684211,0.253369272,0.047169811
Allegheny West,neighborhood group,Allegheny Center-Allegheny West,2133.0,0.068770608,0.148374941,0.385526316,0.082894737,0.0,0.253289474,0.004605263,0.273684211,0.253369272,0.047169811
Allentown,neighborhood,Allentown,1966.0,0.055442523,0.24923703,0.528599606,0.236686391,0.0,0.072978304,0.0,0.1617357,0.12371134,0.02371134
Arlington,neighborhood group,Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair,2902.0,0.188490696,0.228118539,0.762117823,0.105891126,0.0,0.0,0.008948546,0.123042506,0.136752137,0.068376068
Arlington Heights,neighborhood group,Arlington - Arlington Heights - Mount Oliver(City Neighborhood) - St. Clair,2902.0,0.188490696,0.228118539,0.762117823,0.105891126,0.0,0.0,0.008948546,0.123042506,0.136752137,0.068376068
Banksville,neighborhood,Banksville,3677.0,0.074965035,0.097622378,0.739837398,0.035060976,0.0,0.0,0.016768293,0.208333333,0.223149694,0.07902059
Bedford Dwellings,neighborhood,Bedford Dwellings,1380.0,0.365942029,0.518115942,0.396039604,0.514851485,0.0,0.052805281,0.0,0.03630363,0.013550136,0.0
Beechview,neighborhood,Beechview,7647.0,0.043289474,0.094868421,0.782344358,0.091439689,0.0,0.012159533,0.004620623,0.109435798,0.228458738,0.037014563
Beltzhoover,neighborhood group,Beltzhoover - Bon Air,2955.0,0.139424704,0.314043993,0.627407407,0.181481481,0.0,0.051851852,0.041481481,0.097777778,0.171833481,0.007085917
Bloomfield,neighborhood,Bloomfield,8916.0,0.060681254,0.112339274,0.488535866,0.150180151,0.021126761,0.136095644,0.01326564,0.190795938,0.242179617,0.047023209
Bluff,neighborhood,Bluff,6659.0,0.21007371,0.390663391,0.238119835,0.11053719,0.0,0.501033058,0.0,0.150309917,0.211180124,0.031055901
Bon Air,neighborhood group,Beltzhoover - Bon Air,2955.0,0.139424704,0.314043993,0.627407407,0.181481481,0.0,0.051851852,0.041481481,0.097777778,0.171833481,0.007085917
Brighton Heights,neighborhood,Brighton Heights,7047.0,0.056352165,0.092342988,0.597713374,0.206859878,0.001329434,0.021005052,0.007444829,0.165647434,0.280263913,0.062822719
Brookline,neighborhood,Brookline,12924.0,0.031958524,0.104310145,0.757145017,0.075759867,0.0,0.022682595,0.015726599,0.128685922,0.305723906,0.043939394
California-Kirkbride,neighborhood group,Manchester-California-Kirkbride,3011.0,0.082419408,0.16184779,0.582256169,0.060517039,0.020564042,0.142185664,0.010575793,0.183901293,0.311551155,0.072607261
Carrick,neighborhood,Carrick,10066.0,0.053619571,0.193409885,0.713078471,0.119114688,0.0,0.049295775,0.029577465,0.088933602,0.179487179,0.012053474
Central Business District,neighborhood group,Central Business District - Crawford Roberts,7354.0,0.098888336,0.233117637,0.268976057,0.118186449,0.012226184,0.423586347,0.013754457,0.163270504,0.205170068,0.131972789
Central Lawrenceville,neighborhood,Central Lawrenceville,4730.0,0.034813658,0.125864762,0.49906015,0.153822055,0.036654135,0.111215539,0.0,0.19924812,0.244569288,0.122097378
Central Northside,neighborhood,Central Northside,2953.0,0.198571914,0.291397484,0.553617571,0.105297158,0.021963824,0.099483204,0.01744186,0.202196382,0.188023181,0.140373471
Central Oakland,neighborhood,Central Oakland,5142.0,0.547948164,0.73887689,0.250917993,0.144838841,0.024479804,0.474092207,0.026519788,0.079151367,0.035002693,0.006462036
Chartiers City,neighborhood group,Esplen-Sheraden-ChartiersCity-Windgap-Fairywood,8683.0,0.107681677,0.17574571,0.706556503,0.123933902,0.0,0.028251599,0.02478678,0.116471215,0.181355932,0.02740113
Chateau,neighborhood group,East Allegheny-North Shore,1924.0,0.137733888,0.258316008,0.432349949,0.146490336,0.0508647,0.126144456,0.032553408,0.211597152,0.127092846,0.105022831
Crafton Heights,neighborhood,Crafton Heights,3951.0,0.070615034,0.264996203,0.729845168,0.134543513,0.0,0.042712226,0.012279765,0.080619327,0.146223565,0.036253776
