muni,hood,munihood_display,NeighborhoodGroup,GeographyType,match_method
"Pittsburgh city (Allegheny, PA)",Strip District,Strip District,Strip District,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Polish Hill,Polish Hill,Polish Hill,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Lower Lawrenceville,Lower Lawrenceville,Lower Lawrenceville,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Central Lawrenceville,Central Lawrenceville,Central Lawrenceville,neighborhood,acs_neighborhood_name
"Braddock borough (Allegheny, PA)",,Braddock bgh,,none,outside_city_profiles
"Pittsburgh city (Allegheny, PA)",Shadyside,Shadyside,Shadyside,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Point Breeze,Point Breeze,Point Breeze-RegentSquare,neighborhood group,override_csv
"Pittsburgh city (Allegheny, PA)",North Oakland,North Oakland,North Oakland,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",West Oakland,West Oakland,Terrace Village - West Oakland,neighborhood group,override_csv
"Pittsburgh city (Allegheny, PA)",Crawford-Roberts,Crawford-Roberts,Central Business District - Crawford Roberts,neighborhood group,override_csv
"Pittsburgh city (Allegheny, PA)",Larimer,Larimer,Larimer,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Point Breeze North,Point Breeze North,Point Breeze North,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Squirrel Hill North,Squirrel Hill North,Squirrel Hill North,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Bluff,Bluff,Bluff,neighborhood,acs_neighborhood_name
"Trafford borough (Westmoreland, PA)",,"Trafford bgh, Westmoreland Cty",,none,outside_city_profiles
"North Braddock borough (Allegheny, PA)",,North Braddock bgh,,none,outside_city_profiles
"Penn Hills township (Allegheny, PA)",,Penn Hills twp,,none,outside_city_profiles
"Pittsburgh city (Allegheny, PA)",Upper Hill,Upper Hill,Upper Hill,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Garfield,Garfield,Garfield,neighborhood,acs_neighborhood_name
"Turtle Creek borough (Allegheny, PA)",,Turtle Creek bgh,,none,outside_city_profiles
"Wilmerding borough (Allegheny, PA)",,Wilmerding bgh,,none,outside_city_profiles
"Churchill borough (Allegheny, PA)",,Churchill bgh,,none,outside_city_profiles
"Pittsburgh city (Allegheny, PA)",Hazelwood,Hazelwood,Hazelwood-Glen Hazel -New Homestead-Hays,neighborhood group,override_csv
"Pittsburgh city (Allegheny, PA)",Greenfield,Greenfield,Greenfield,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",East Liberty,East Liberty,East Liberty,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",South Oakland,South Oakland,South Oakland,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Central Oakland,Central Oakland,Central Oakland,neighborhood,acs_neighborhood_name
"Monroeville municipality (Allegheny, PA)",,Monroeville municipality,,none,outside_city_profiles
"Pittsburgh city (Allegheny, PA)",Regent Square,Regent Square,Point Breeze-RegentSquare,neighborhood group,override_csv
"Swissvale borough (Allegheny, PA)",,Swissvale bgh,,none,outside_city_profiles
"Edgewood borough (Allegheny, PA)",,Edgewood bgh,,none,outside_city_profiles
"Wilkinsburg borough (Allegheny, PA)",,Wilkinsburg bgh,,none,outside_city_profiles
"Braddock Hills borough (Allegheny, PA)",,Braddock Hills bgh,,none,outside_city_profiles
"Forest Hills borough (Allegheny, PA)",,Forest Hills bgh,,none,outside_city_profiles
"Pitcairn borough (Allegheny, PA)",,Pitcairn bgh,,none,outside_city_profiles
"Pittsburgh city (Allegheny, PA)",Squirrel Hill South,Squirrel Hill South,Squirrel Hill South,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Highland Park,Highland Park,Highland Park,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Upper Lawrenceville,Upper Lawrenceville,Upper Lawrenceville,neighborhood,acs_neighborhood_name
"Verona borough (Allegheny, PA)",,Verona bgh,,none,outside_city_profiles
"Oakmont borough (Allegheny, PA)",,Oakmont bgh,,none,outside_city_profiles
"Pittsburgh city (Allegheny, PA)",Terrace Village,Terrace Village,Terrace Village - West Oakland,neighborhood group,override_csv
"Pittsburgh city (Allegheny, PA)",Morningside,Morningside,Morningside,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Bloomfield,Bloomfield,Bloomfield,neighborhood,acs_neighborhood_name
"Pittsburgh city (Allegheny, PA)",Friendship,Friendship,Friendship,neighborhood,acs_neighborhood_name
