_id,Variable Name,Group or subgroup,Universe or description,Period,Source ACS Table,Calculation
1,NeighborhoodGroup,Area Name,na,na,na,na
2,GeographyType,"""Region"", ""Neighborhood"", or ""Neighborhood Group""",na,na,na,na
3,Var_2012_TotalPopulation,Total Population,Population,2012,B01001,B01001_001E
4,Var_2022_TotalPopulation,Total Population,Population,2022,B01001,B01001_001E
5,Var_Change_TotalPopulation,Total Population,Change between periods (number),na,B01001,B01001_001E - B01001_001E
6,Var_ChangePer_TotalPopulation,Total Population,Change between periods (percent),na,B01001,Var_Change_TotalPopulation/B01001_001E
7,Var_2012_Race_1,Black-alone population,Population,2012,B02001,B02001_002E
8,Var_2012_Race_2,White-alone population,Population,2012,B02001,B02001_003E
9,Var_2012_Race_3,Asian-alone population,Population,2012,B02001,B02001_005E
10,Var_2012_Race_4,All other single-race alone population,Population,2012,B02001,B02001_004E + B02001_006E + B02001_007E
11,Var_2012_Race_5,Two or more race population,Population,2012,B02001,B02001_008E
12,Var_2012_Race_Per_1,Black-alone population,Percent of total population,2012,B02001,Var_2012_Race_1/Var_2012_TotalPopulation
13,Var_2012_Race_Per_2,White-alone population,Percent of total population,2012,B02001,Var_2012_Race_2/Var_2012_TotalPopulation
14,Var_2012_Race_Per_3,Asian-alone population,Percent of total population,2012,B02001,Var_2012_Race_3/Var_2012_TotalPopulation
15,Var_2012_Race_Per_4,All other single-race alone population,Percent of total population,2012,B02001,Var_2012_Race_4/Var_2012_TotalPopulation
16,Var_2012_Race_Per_5,Two or more race population,Percent of total population,2012,B02001,Var_2012_Race_5/Var_2012_TotalPopulation
17,Var_2022_Race_1,Black-alone population,Population,2022,B02001,B02001_002E
18,Var_2022_Race_2,White-alone population,Population,2022,B02001,B02001_003E
19,Var_2022_Race_3,Asian-alone population,Population,2022,B02001,B02001_005E
20,Var_2022_Race_4,All other single-race alone population,Population,2022,B02001,B02001_004E + B02001_006E + B02001_007E
21,Var_2022_Race_5,Two or more race population,Population,2022,B02001,B02001_008E
22,Var_2022_Race_Per_1,Black-alone population,Percent of total population,2022,B02001,Var_2022_Race_1/Var_2022_TotalPopulation
23,Var_2022_Race_Per_2,White-alone population,Percent of total population,2022,B02001,Var_2022_Race_2/Var_2022_TotalPopulation
24,Var_2022_Race_Per_3,Asian-alone population,Percent of total population,2022,B02001,Var_2022_Race_3/Var_2022_TotalPopulation
25,Var_2022_Race_Per_4,All other single-race alone population,Percent of total population,2022,B02001,Var_2022_Race_4/Var_2022_TotalPopulation
26,Var_2022_Race_Per_5,Two or more race population,Percent of total population,2022,B02001,Var_2022_Race_5/Var_2022_TotalPopulation
27,Var_Change_Race_1,Black-alone population,Change between periods (number),na,B02001,Var_2022_Race_1  - Var_2012_Race_1
28,Var_Change_Race_2,White-alone population,Change between periods (number),na,B02001,Var_2022_Race_2  - Var_2012_Race_2
29,Var_Change_Race_3,Asian-alone population,Change between periods (number),na,B02001,Var_2022_Race_3  - Var_2012_Race_3
30,Var_Change_Race_4,All other single-race alone population,Change between periods (number),na,B02001,Var_2022_Race_4  - Var_2012_Race_4
31,Var_Change_Race_5,Two or more race population,Change between periods (number),na,B02001,Var_2022_Race_5  - Var_2012_Race_5
32,Var_ChangePer_Race_1,Black-alone population,Change between periods (percent),na,B02001,Var_Change_Race_1/Var_2012_Race_1
33,Var_ChangePer_Race_2,White-alone population,Change between periods (percent),na,B02001,Var_Change_Race_2/Var_2012_Race_2
34,Var_ChangePer_Race_3,Asian-alone population,Change between periods (percent),na,B02001,Var_Change_Race_3/Var_2012_Race_3
35,Var_ChangePer_Race_4,All other single-race alone population,Change between periods (percent),na,B02001,Var_Change_Race_4/Var_2012_Race_4
36,Var_ChangePer_Race_5,Two or more race population,Change between periods (percent),na,B02001,Var_Change_Race_5/Var_2012_Race_5
37,Var_2012_GroupQuarters,Total group quarters population,Population,2012,B26001,B26001_001E
38,Var_2012_GroupQuartersPer,Total group quarters population,Percent of total population,2012,B26001,Var_2012_B26001_001E/Var_2012_TotalPopulation
39,Var_2022_GroupQuarters,Total group quarters population,Population,2022,B26001,B26001_001E
40,Var_2022_GroupQuartersPer,Total group quarters population,Percent of total population,2022,B26001,B26001_001E/Var_2022_TotalPopulation
41,Var_Change_GroupQuarters,Total group quarters population,Change between periods (number),na,B26001,B26001_001E - B26001_001E
42,Var_ChangePer_GroupQuarters,Total group quarters population,Change between periods (percent),na,B26001,Var_Change_GroupQuarters/ Var_2012_GroupQuarters
43,Var_2012_Hispanic,Hispanic or Latino Population,Population,2012,B03003,B03003_003E
44,Var_2012_Hispanic_Per,Hispanic or Latino Population,Percent of total population,2012,B03003,B03003/Var_2012_TotalPopulation
45,Var_2022_Hispanic,Hispanic or Latino Population,Population,2022,B03003,B03003_003E
46,Var_2022_Hispanic_Per,Hispanic or Latino Population,Percent of total population,2022,B03003,B03003_003E/Var_2022_TotalPopulation
47,Var_Change_Hispanic,Hispanic or Latino Population,Change between periods (number),na,B03003,Var_2022_Hispanic -  Var_2012_Hispanic
48,Var_ChangePer_Hispanic,Hispanic or Latino Population,Change between periods (percent),na,B03003,Var_Change_Hispanic/Var_2012_Hispanic
49,Var_2012_Age_1,Under age 18,Population,2012,B01001,B01001_003E + B01001_004E + B01001_005E + B01001_006E + B01001_027E + B01001_028E + B01001_029E + B01001_030E
50,Var_2012_Age_2,Age 18-24,Population,2012,B01001,B01001_007E + B01001_008E + B01001_009E + B01001_010E + B01001_031E + B01001_032E + B01001_033E + B01001_034E
51,Var_2012_Age_3,Age 25-44,Population,2012,B01001,B01001_011E + B01001_012E + B01001_013E + B01001_014E + B01001_035E + B01001_036E + B01001_037E + B01001_038E
52,Var_2012_Age_4,Age 45-64,Population,2012,B01001,B01001_015E + B01001_016E + B01001_017E + B01001_018E + B01001_019E + B01001_039E + B01001_040E + B01001_041E + B01001_042E + B01001_043E
53,Var_2012_Age_5,Age 65 and over,Population,2012,B01001,B01001_044E + B01001_045E + B01001_046E + B01001_047E + B01001_048E + B01001_049E + B01001_020E + B01001_021E + B01001_022E + B01001_023E + B01001_024E + B01001_025E
54,Var_2012_Age_Per_1,Under age 18,Percent of total population,2012,B01001,Var_2012_Age_1/Var_2012_TotalPopulation
55,Var_2012_Age_Per_2,Age 18-24,Percent of total population,2012,B01001,Var_2012_Age_2/Var_2012_TotalPopulation
56,Var_2012_Age_Per_3,Age 25-44,Percent of total population,2012,B01001,Var_2012_Age_3/Var_2012_TotalPopulation
57,Var_2012_Age_Per_4,Age 45-64,Percent of total population,2012,B01001,Var_2012_Age_4/Var_2012_TotalPopulation
