route_id,avg_daily_riders
002,466.8
004,326.3
007,73.8
014,605.8
018,45.7
019L,265.3
020,311.6
026,641.7
029,769.2
036,306.7
038,587.9
039,741.7
040,368.5
041,635.8
043,279.7
051L,369.3
052L,258.3
053L,748.5
058,410.8
065,101.5
071,50.1
G3,191.3
G31,219.6
O1,294.8
O12,394.3
O5,44.2
P10,221.3
P12,292.6
P13,73.6
P16,321.8
P17,348.1
P67,141.0
P69,170.3
P7,276.5
P71,151.0
P76,300.8
SLVR,3531.5
Y1,111.6
Y45,74.2
Y47,536.6
Y49,676.3
000,0.0
001,1543.3
006,938.0
008,1767.0
011,401.0
012,947.9
013,1408.5
016,2185.0
017,941.1
021,888.7
022,536.2
024,1131.4
027,765.6
028X,1298.1
031,1040.1
044,548.4
048,1600.8
051,5417.1
053,0.0
054,2961.7
055,767.9
056,1008.1
057,736.5
059,1930.6
060,414.4
061A,4045.4
061B,3388.4
061C,4872.6
061D,3118.2
064,1586.4
067,1431.1
069,1061.7
071A,3335.1
071B,3958.4
071C,3597.5
071D,2435.8
074,676.5
075,2610.5
077,1188.8
081,1306.8
082,3390.8
083,1685.6
086,1834.3
087,1232.3
088,1179.4
091,2182.4
093,1577.0
BLLB,0.0
BLSV,0.0
BLUE,2942.6
G2,1400.1
P1,4694.6
P3,1767.8
P68,1267.8
P78,785.0
RED,4267.1
Y46,886.0
015,694.2
089,198.4
