route_id,route_name,avg_daily_riders,pct_corridor_no_car,cut_type,neighborhoods_served,is_persona_a_route,is_persona_b_route
002,2 - MOUNT ROYAL,466.8,31.1,eliminated,"North Shore, East Allegheny, Allegheny Center, Central Business District, Troy Hill",false,false
004,4 - TROY HILL,326.3,38.0,eliminated,"Troy Hill, East Allegheny, North Shore, Allegheny Center, Summer Hill, Perry North, Central Business District",false,false
007,7 - SPRING GARDEN,73.8,51.6,eliminated,"Spring Garden, East Allegheny, North Shore, Allegheny Center, Central Business District, Summer Hill",false,false
014,14 - OHIO VALLEY,605.8,40.2,eliminated,"Chateau, Manchester, Marshall-Shadeland, Brighton Heights, California-Kirkbride",false,false
018,18 - MANCHESTER,45.7,44.6,eliminated,"Manchester, Chateau, Allegheny West, Central Northside",false,false
019L,19L - EMSWORTH LIMITED,265.3,40.2,eliminated,"Central Business District, Brighton Heights",false,false
020,20 - KENNEDY,311.6,27.0,eliminated,"Esplen, South Shore, Central Business District, Elliott",false,false
026,26 - CHARTIERS,641.7,27.0,eliminated,"Sheraden, Crafton Heights, Elliott, Windgap, West End, Central Business District, South Shore",false,false
029,29 - ROBINSON,769.2,28.0,eliminated,"Elliott, Crafton Heights, Central Business District, West End, South Shore",false,false
036,36 - BANKSVILLE,306.7,26.0,eliminated,"Banksville, Beechview, Central Business District",false,false
038,38 - GREEN TREE,587.9,28.0,eliminated,"Central Business District, West End, Ridgemont, Westwood, South Shore",false,false
039,39 - BROOKLINE,741.7,24.3,eliminated,"Brookline, Overbrook, Central Business District, Mount Washington, South Shore",false,false
040,40 - MOUNT WASHINGTON,368.5,31.1,eliminated,"Mount Washington, South Shore, Duquesne Heights, Central Business District",false,false
041,41 - BOWER HILL,635.8,21.8,eliminated,"Beechview, Brookline, Central Business District, Mount Washington, South Shore",false,false
043,43 - BAILEY,279.7,39.3,eliminated,"Mount Washington, Allentown, Beltzhoover, South Side Slopes, South Shore, Central Business District",true,false
051L,51L - CARRICK LIMITED,369.3,28.7,eliminated,"Carrick, Allentown, Central Business District, Knoxville, South Shore, Mount Washington",true,false
052L,52L - HOMEVILLE LIMITED,258.3,29.7,eliminated,"Squirrel Hill South, Greenfield, Central Business District, Hazelwood, Bluff",false,false
